id,name,popularity,genre,album,artists,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms
7wj1Lb5ggzMWJ9TqZJ2dwo,Up,54,acoustic,My World 2.0,Justin Bieber,0,1,4,0.084,0.711,0.717,0.0,0.09,-4.317,0.0396,0.589,125.949,234933
5SdG78xwNRsjXmFGhm9Z8D,Om du letar efter nån,36,acoustic;acoustic;swedish;swedish,Innan jag kände dig,Melissa Horn,10,1,4,0.81,0.556,0.284,9.54e-05,0.187,-15.177,0.0302,0.658,130.009,245000
49T9pCYlpvtGd9ugZt7DSZ,If I Could,53,acoustic;acoustic;chill;chill,In Between Dreams,Jack Johnson,9,1,4,0.762,0.714,0.321,0.385,0.0993,-14.517,0.0428,0.477,114.228,144987
0TJWjCuRZLRrBSZLBIF7EW,Up,45,acoustic,The Awakening,James Morrison;Jessie J,11,0,4,0.425,0.437,0.632,0.0,0.445,-6.781,0.0339,0.332,72.845,218411
1EAgPzRbK9YmdOESSMUm6P,Home,55,acoustic;acoustic;acoustic;road-trip;road-trip;road-trip;study;study;study,The World From The Side Of The Moon,Phillip Phillips,0,1,4,0.0256,0.606,0.826,1.56e-05,0.117,-6.04,0.0307,0.322,121.04,210173
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,78,acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;children;children;children;children;children;children;children;happy;happy;happy;happy;happy;happy;happy;romance;romance;romance;romance;romance;romance;romance;sad;sad;sad;sad;sad;sad;sad;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;summer;summer;summer;summer;summer;summer;summer,Is There Anybody Out There?,A Great Big World;Christina Aguilera,2,1,3,0.857,0.407,0.147,2.89e-06,0.0913,-8.822,0.0355,0.0765,141.284,229400
4gJoAvFpDvaeqm2EKYGmhb,If You're Not The One,52,acoustic,Gotta Get Thru This,Daniel Bedingfield,10,1,4,0.561,0.687,0.537,0.0,0.107,-7.639,0.0305,0.264,120.023,257160
38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,72,acoustic;acoustic;chill;chill,Some Mad Hope,Matt Nathanson,9,1,4,0.241,0.672,0.623,0.0,0.0848,-5.699,0.0297,0.617,92.018,215173
6MDTpYxPFL0wtFd0pjfKws,Rhythm Of Love,63,acoustic;acoustic;alternative;alternative,Wonders Of The Younger,Plain White T's,8,1,4,0.356,0.531,0.542,0.0,0.119,-7.721,0.0432,0.726,171.878,200200
2nGFzvICaeEWjIrBrL2RAx,Put Your Records On,79,acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;british;british;british;british;british;british;british;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;road-trip;road-trip;road-trip;road-trip;road-trip;road-trip;road-trip;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;soul;soul;soul;soul;soul;soul;soul;summer;summer;summer;summer;summer;summer;summer,Corinne Bailey Rae,Corinne Bailey Rae,9,1,4,0.167,0.739,0.511,1.34e-06,0.133,-7.844,0.0362,0.542,96.038,215360
6WgrB8d7GLBGweYLDI6ObR,All Around The World,54,acoustic;acoustic;acoustic;children;children;children;summer;summer;summer,Believe,Justin Bieber;Ludacris,3,0,4,0.019,0.689,0.816,2.42e-06,0.181,-3.951,0.178,0.775,127.958,244547
2yrOUeHM5IOi8DrzKpsM7j,Move Like You Want - Live,47,acoustic,Every Kingdom (Deluxe Version),Ben Howard,6,0,4,0.111,0.45,0.748,0.00292,0.962,-8.164,0.0388,0.633,121.753,501133
7nnWIPM5hwE3DaUBkvOIpy,Drive,75,acoustic;acoustic;acoustic;alternative;alternative;alternative;grunge;grunge;grunge,Make Yourself,Incubus,4,0,4,0.0562,0.645,0.792,0.0121,0.119,-7.34,0.036,0.666,90.565,232453
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,81,acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;chill;chill;chill;chill;chill;chill;pop;pop;pop;pop;pop;pop;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;sad;sad;sad;sad;sad;sad;sleep;sleep;sleep;sleep;sleep;sleep,Doo-Wops & Hooligans,Bruno Mars,5,1,4,0.0151,0.637,0.843,0.0,0.0876,-5.413,0.0432,0.434,109.012,220733
5FeMd5rQHvn9oQQoD8j0Z9,I Want To Hold Your Hand (Glee Cast Version),47,acoustic,"Glee: The Music, Volume 4",Glee Cast,7,1,1,0.664,0.484,0.261,1.09e-05,0.17,-10.951,0.0267,0.215,78.015,156347
1DWbTRHEL2x9sZmdagh2Su,Hometown Glory (Live at Hotel Cafe),43,acoustic,19,Adele,1,1,4,0.922,0.436,0.353,0.00525,0.191,-9.365,0.0312,0.181,119.133,228573
6Zewjs7at1sPyc03lUoAHB,Save Your Scissors,46,acoustic,Sometimes,City and Colour,11,1,4,0.815,0.439,0.647,0.0,0.0928,-5.634,0.0274,0.567,153.932,288627
0fkuiUhvDSiA6mpkpGgMu5,"Creep - Live At MTV Studio, NYC, 2006",42,acoustic,MTV Unplugged (Live),Korn,0,1,4,0.628,0.484,0.534,0.00151,0.701,-9.244,0.0642,0.236,104.023,231027
6n6EXIwLtNwe4u4CFzENYm,The General,61,acoustic,Bang Bang,Dispatch,10,1,4,0.446,0.541,0.675,0.0,0.107,-6.136,0.192,0.686,91.09,246920
7lncIPoy398VKZNbH3W9og,Quelqu'un m'a dit,48,acoustic,French Pop,Carla Bruni,10,1,3,0.834,0.611,0.428,0.00517,0.113,-10.723,0.0474,0.389,133.281,168627
38xWaVFKaxZlMFvzNff2aW,Breakeven,71,acoustic;acoustic;rainy-day;rainy-day,The Script,The Script,10,1,4,0.173,0.63,0.698,0.0,0.0789,-4.51,0.0244,0.529,94.023,261427
