id,name,popularity
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,84
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,88
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,79
64KEffDW9EtZ1y2vBYgq8T,Marshmello,91
1l2ekx5skC4gJH8djERwh1,Don Diablo,76
5nki7yRhxgM509M5ADlN1p,Oliver Heldens,76
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,83
4D75GcNG95ebPtNvoNVXhz,Afrojack,78
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,80
0NGAZxHanS9e0iNHpR8f2W,Alok,83
6BrvowZBreEkXzJQMpL174,Hardwell,73
0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,76
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,83
2wX6xSig4Rig5kZU6ePlWe,KSHMR,74
540vIaP2JwjQb9dm3aArA4,DJ Snake,83
5sm0jQ1mq0dusiLtDJ2b4R,Eric Prydz,68
2rTo8KIkBTFjQS7VvaKYQ4,W&W,68
7CajNmpbOovFoOoasH2HaY,Calvin Harris,89
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,78
5he5w2lnU9x7JFhnwcekXX,Skrillex,81
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,70
5X4LWwbUFNzPkEas04uU82,DVBBS,70
4j5KBTO4tk7up54ZirNGvK,NERVO,64
1V3VTM7VspiQjcmRhC010n,Quintino,69
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,86
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,86
4mrBetqy378Jf1y6NLszlx,VINAI,66
6C0KWmCdqrLU2LzzWBPbOy,Headhunterz,66
7dc6hUwyuIhrZdh80eaCEE,Fedde Le Grand,66
29zsVzEH33dD5QqxeL8dvy,Vini Vici,68
7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,67
4sQNUQjOYj9rV2sdfJ8laS,Angerfist,62
6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,67
19SmlbABtI4bXz864MLqOS,Carl Cox,56
37awA8DFCAnCCL7aqYbDnD,Blasterjaxx,64
5ChF3i92IPZHduM7jN3dpg,Nicky Romero,71
74ycentHh1YZrW5x4PLnox,Wolfpack,57
7jZM5w05mGhw6wTB1okhD9,ATB,61
3BU4UGbnzKAtkq79Y1MW0e,Kuranes,52
5y3G1B8cpCTaoq0uDgjwzH,Danny Avila,62
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,71
2vVNxGBvKRQMWwI5c8KmYh,Tujamo,72
11gWrKZMBsGQWmobv3oNfW,Alison Wonderland,63
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,77
3q2dSq7VZnj8TmoJUyRm40,Cat Dealers,70
28uJnu5EsrGml2tBd7y8ts,Vintage Culture,79
1btv9qmIpbp7q1ixCYNdHu,Adam Beyer,54
2cFzYhiHqYS7o8ZIM9WD22,Mariana BO,48
2qxJFvFYMEDqd7ui6kSAcq,Zedd,82
01p7Homi0d4XxZ06f2NYYD,La Sonora Matancera,59
23fqKkggKUBHNkbKtXEls4,Kygo,89
4mncDFjVLUa3s025Tct3Ry,Claptone,68
3IpvVrP3VLhruTmnququq7,Mike Williams,71
58La32UtamIpPg8Ajm6FE6,Diego Miranda,42
47BEc2RoW53owMyxacXWdV,Yves V,69
1u7OVFmWah4wQhOPIbUb8U,Will Sparks,66
4FqPRilb0Ja0TKG3RS3y4s,Steve Angello,62
2ohlvFf9PBsDELdRstPtlP,Ferry Corsten,57
1oZmFNkGAT93yD1xX4vTRE,Nina Kraviz,49
4AVFqumd2ogHFlRbKIjp1t,Alesso,79
53M4Iv2RkzzxFFvW2B1jhC,Breathe Carolina,66
1VJ0briNOlXRtJUAzoUJdt,FISHER,72
45eNHdiiabvmbp4erw26rg,ILLENIUM,80
6VD4UEUPvtsemqD3mmTqCR,Deorro,72
3AhwIUus3pIaA3CvYBEtpy,Richie Hawtin,41
5fMUXHkw8R8eOP2RNVYEZX,Diplo,87
6UOk7DmvqlzWmo6gjhZvn6,Da Tweekaz,68
776uRsooWrGiVZkVWtvfgO,Miss K8,53
6w0JXd2nT27GXVTbsuQ2II,3 Are Legend,48
2CIMQHirSU0MQqyYHq0eOx,deadmau5,71
6roDXEmZ6AARdOUv6x5U2v,Felix Cartal,63
4BkTFXaUWivBQa2UBqygbK,Carl Nunes,27
1lJhME1ZpzsEa5M0wW6Mso,Charlotte de Witte,59
1wuQQfTDZhgNb4GJyhThUs,Warface,58
4Wjf8diP59VmPG7fi4y724,Cedric Gervais,70
47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,71
5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,73
4j0Oi9KU6tQB5SV80mQNHO,Andy Clay,53
2mLA48B366zkELXYx7hcDN,Peggy Gou,61
39PhMWg1aAuuZcph0OXGu6,Deniz Koyu,59
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,84
0daugAjUgbJSqdlyYNwIbT,Vicetone,73
1XU5MjR4kex9BGyY4UMtta,Tom & Collins,47
6caPJFLv1wesmM7gwK1ACy,Boris Brejcha,67
2p8O7NCyfWf1sIZamrU9N1,Marco Carola,38
7wU1naftD3lNq7rNsiDvOR,Paul van Dyk,60
0oO1IaDOBSeI96HbnCa5pZ,Solardo,62
1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,58
6wMr4zKPrrR0UVz08WtUWc,Black Coffee,65
0rasA5Z5h1ITtHelCpfu9R,Paul Kalkbrenner,69
3kcQ94iDBwumLfddrCrse8,Daddy's Groove,44
2vUCVkeZjzDcaoX4gagHdV,Julian Jordan,56
751qvO4d3fNm3WkLvOS5Wa,Rave Republic,38
4f0OXMMSxr0r8Ztx6CdpAl,Sub Zero Project,62
64UHlFDUkT8Hx3RCtDUieN,Dope D.O.D.,52
6n9XmMc3mX18mrTHYOCPIq,Henri PFR,53
4GWqzTTt2uA9Ms6HfUhWUn,Florian Picasso,50
06cLuOP0p7VAnBnqil1eWX,Swanky Tunes,56
5wJK4kQAkVGjqM9x46KQOC,Solomun,64
