id,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms
3GYlQmwfBDo7imFyGPhrl7,10,0,4,0.0703,0.729,0.788,0.0,0.115,-4.832,0.0908,0.857,118.039,159536
0U6bQIAh6MCGo1xjbIIx2S,8,0,4,0.125,0.765,0.906,0.0,0.423,-2.097,0.0965,0.95,96.071,184558
6kLrO8KR0sx5nwyWL40d2u,7,1,4,0.046,0.883,0.686,0.0,0.0944,-4.141,0.181,0.676,124.997,157445
5KC7ginqShi7mhDQLttQh0,1,1,4,0.000206,0.558,0.99,0.376,0.0797,-3.877,0.128,0.0738,138.074,161739
3o7TK4inMYzJC3ZMJCWsRC,1,1,4,0.0134,0.752,0.82,0.000804,0.0692,-2.976,0.0461,0.822,95.987,211520
6AE0G24YXnDyEgE4L0efpB,6,0,4,0.000351,0.631,0.939,0.747,0.955,-4.21,0.0363,0.452,127.992,294467
1F9xcExF9W7m5BxTdlJLED,6,0,4,0.00342,0.321,0.939,0.81,0.0905,-4.86,0.0616,0.179,131.933,194261
3wSrPtJpnGaUC2hOmJy0BV,5,0,4,0.0326,0.333,0.985,0.769,0.226,-2.843,0.0563,0.393,135.24,189826
2yrsTVD4RknDjUTGmNFQHM,5,0,4,0.00577,0.618,0.952,0.789,0.411,-3.545,0.0297,0.233,128.034,157500
76fqWMe0buqQoaNTIbLWmr,11,0,4,0.00105,0.645,0.85,0.302,0.364,-5.952,0.256,0.471,127.997,332289
2UdCIrsZR9bw96kcLAyAyh,1,0,4,0.0554,0.436,0.858,0.0,0.173,-4.069,0.104,0.502,122.568,151897
02q7qbOYbE89NMFEtOklcc,10,0,4,0.0241,0.65,0.912,0.8,0.293,-4.588,0.0406,0.191,129.999,234462
1Sl3njkhhz8nrSPZroDQ82,8,1,4,0.191,0.678,0.819,0.0,0.159,-3.306,0.0313,0.499,90.004,184248
3FpwEUCh753Vv5u4rrmn4K,6,1,4,0.025,0.494,0.823,0.00101,0.209,-3.877,0.0813,0.291,128.037,217178
