id,name,popularity,artist_id
3GYlQmwfBDo7imFyGPhrl7,Say My Name,77,73jBynjsVtofjRpdpRAJGk
0U6bQIAh6MCGo1xjbIIx2S,Instagram,75,73jBynjsVtofjRpdpRAJGk
6kLrO8KR0sx5nwyWL40d2u,Do It! - Dimitri Vegas Radio Edit,70,73jBynjsVtofjRpdpRAJGk
5KC7ginqShi7mhDQLttQh0,Get in Trouble (So What),68,73jBynjsVtofjRpdpRAJGk
3o7TK4inMYzJC3ZMJCWsRC,Boomshakalaka - Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix,64,73jBynjsVtofjRpdpRAJGk
6AE0G24YXnDyEgE4L0efpB,Tremor - Sensation 2014 Anthem,58,73jBynjsVtofjRpdpRAJGk
1F9xcExF9W7m5BxTdlJLED,Repeat After Me,64,73jBynjsVtofjRpdpRAJGk
3wSrPtJpnGaUC2hOmJy0BV,Beast (All as One),66,73jBynjsVtofjRpdpRAJGk
2yrsTVD4RknDjUTGmNFQHM,The Chase - Klaas & MATTN Remix,62,73jBynjsVtofjRpdpRAJGk
76fqWMe0buqQoaNTIbLWmr,Mammoth,58,73jBynjsVtofjRpdpRAJGk
2UdCIrsZR9bw96kcLAyAyh,Instagram - R3HAB Remix,61,73jBynjsVtofjRpdpRAJGk
02q7qbOYbE89NMFEtOklcc,Unity,64,73jBynjsVtofjRpdpRAJGk
1Sl3njkhhz8nrSPZroDQ82,Complicated (feat. Kiiara),63,73jBynjsVtofjRpdpRAJGk
3FpwEUCh753Vv5u4rrmn4K,Instagram - Bassjackers Remix,62,73jBynjsVtofjRpdpRAJGk
10IWiPjcInaLTvKKrrhXxc,Ride It - Dimitri Vegas & Like Mike vs Quintino Remix,55,73jBynjsVtofjRpdpRAJGk
6dwVoXGSsQ1TTL5aw987pi,The Flight,58,73jBynjsVtofjRpdpRAJGk
7EEJU3Qme2yzu8Q0OTtct6,Happy Together,62,73jBynjsVtofjRpdpRAJGk
1jTKIuhvCHygnnY4QnUvyv,Louder - Radio Edit,57,73jBynjsVtofjRpdpRAJGk
6xUy203RnyyOfbqf96Nven,Selfish,61,73jBynjsVtofjRpdpRAJGk
00JoqMc5KZFLpdrtymo6f0,The Chase,60,73jBynjsVtofjRpdpRAJGk
3LK452TFyApuFN9jjg3THO,When I Grow Up (feat. Wiz Khalifa),59,73jBynjsVtofjRpdpRAJGk
5Uj0VnayJKOuP9GmmDPNOx,Untz Untz,60,73jBynjsVtofjRpdpRAJGk
3MMKwhb20Rs3AnXIlz3fan,Ride It - Dimitri Vegas & Like Mike vs Quintino Remix,55,73jBynjsVtofjRpdpRAJGk
0rS5GffjthPE8zm0wWvrCN,Arcade Mammoth,55,73jBynjsVtofjRpdpRAJGk
3Id3L39kmlEZCgSrfOtKwQ,Selfish - M-22 Remix,56,73jBynjsVtofjRpdpRAJGk
7wxeGWvf8HNuUeK4k06mOr,Opa,55,73jBynjsVtofjRpdpRAJGk
58FbltxPQWgokYBPsXz6Qs,Higher Place - Radio Edit,55,73jBynjsVtofjRpdpRAJGk
3DByxA4MRvkBR8DPEFnrgr,Kalinka - Dimitri Vegas & Like Mike Edit,59,73jBynjsVtofjRpdpRAJGk
29GJzOuxFqzlyvf6NxoZGH,Carnival - Dimitri Vegas & Like Mike Edit,58,73jBynjsVtofjRpdpRAJGk
2l87JUbDWdnVGQAdAuHLip,All Aboard - Dimitri Vegas & Like Mike Edit,47,73jBynjsVtofjRpdpRAJGk
2tHA0EXUTUty3ooeiR6kft,Madness (feat. Lil Jon) - Radio Edit,44,73jBynjsVtofjRpdpRAJGk
6OMMl7cXqW4lWf0uYeBOf8,Madness (feat. Lil Jon),38,73jBynjsVtofjRpdpRAJGk
6iLbgkOew6ZJ6BBSXtUYEJ,Narcotic - Dimitri Vegas & Like Mike vs Ummet Ozcan Remix,63,73jBynjsVtofjRpdpRAJGk
2wwN7CGIhd6a0E5QxE1MvZ,Melody - Radio Mix,51,73jBynjsVtofjRpdpRAJGk
0Gc1AVYqYOR522Nvz68dsT,The Hum,45,73jBynjsVtofjRpdpRAJGk
0h1yorZXMX1sRRLfq0aOAK,The Hum,33,73jBynjsVtofjRpdpRAJGk
1jISfCuI2LkLqRpxW0grFC,Clap Your Hands,42,73jBynjsVtofjRpdpRAJGk
